"FinalID"	"Phylum"	"Class"	"Subclass"	"Order"	"Family"	"Tribe"	"Genus"	"Species"	"Variety"	"Poll_Tol_Class"	"pH_class"	"Salinity_class"	"Nitrogen_Uptake_class"	"Oxygen_class"	"Saprobity_class"	"Trophic_class"	"Moisture_class"	"Motility_class"	"Phosphorus_class"	"Nitrogen_class"	"TaxaGroup"	"GroupName"
"Cymbella microcephala"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"microcephala"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella minuta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"minuta"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella minuta var. silesiaca"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"minuta"	"silesiaca"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella naviculiformis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"naviculiformis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella prostrata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"prostrata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella prostrata var. auerswaldii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"prostrata"	"auerswaldii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella pusilla"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"pusilla"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella subhelvetica"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"subhelvetica"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella subminuta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"subminuta"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella subturgidula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"subturgidula"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella triangulum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"triangulum"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella tumida"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"tumida"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbellonitzschia diluviana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Bacillariales"	"Bacillariaceae"	NA	"Cymbellonitzschia"	"diluviana"	""	3	5	2	NA	NA	NA	7	NA	"M"	"L"	NA	NA	"Cymbellonitzschia"
"Cymbopleura naviculiformis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbopleura"	"naviculiformis"	""	3	3	2	2	2	2	5	2	"V"	NA	NA	NA	"Cymbopleura"
"Denticula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Bacillariales"	"Bacillariaceae"	NA	"Denticula"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Denticula"
"Denticula kuetzingii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Bacillariales"	"Bacillariaceae"	NA	"Denticula"	"kuetzingii"	""	3	4	2	1	1	2	3	3	"M"	NA	NA	NA	"Denticula"
"Denticula elegans"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Bacillariales"	"Bacillariaceae"	NA	"Denticula"	"elegans"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Denticula"
"Diadesmis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Diadesmidaceae"	NA	"Diadesmis"	""	""	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Diadesmis"
"Diadesmis confervacea"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Diadesmidaceae"	NA	"Diadesmis"	"confervacea"	""	2	3	3	3	3	3	5	3	"M"	"H"	NA	NA	"Diadesmis"
"Diadesmis perpusilla"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Diadesmidaceae"	NA	"Diadesmis"	"perpusilla"	""	2	3	2	1	1	1	1	5	"M"	NA	NA	NA	"Diadesmis"
"Diatoma moniliformis"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Diatoma"	"moniliformis"	""	2	4	3	2	3	3	5	1	"N"	NA	NA	NA	"Diatoma"
"Diatoma vulgaris"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Diatoma"	"vulgaris"	""	3	5	2	2	2	2	4	1	"N"	NA	NA	NA	"Diatoma"
"Diatoma anceps"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Diatoma"	"anceps"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Diatoma"
"Diatoma hiemalis"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Diatoma"	"hiemalis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Diatoma"
"Diatoma mesodon"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Diatoma"	"mesodon"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Diatoma"
"Diatoma vulgaris var. brevis"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Diatoma"	"vulgaris"	"brevis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Diatoma"
"Diploneis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Diploneidaceae"	NA	"Diploneis"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Diploneis"
"Diploneis boldtiana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Diploneidaceae"	NA	"Diploneis"	"boldtiana"	""	3	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Diploneis"
"Diploneis oblongella"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Diploneidaceae"	NA	"Diploneis"	"oblongella"	""	3	4	2	1	1	1	NA	4	"M"	NA	NA	NA	"Diploneis"
"Diploneis elliptica"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Diploneidaceae"	NA	"Diploneis"	"elliptica"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Diploneis"
"Encyonema"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	""	""	2	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Encyonema"
"Encyonema auerswaldii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"auerswaldii"	""	2	NA	2	NA	NA	3	7	NA	"V"	"L"	NA	NA	"Encyonema"
"Encyonema leibleinii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"leibleinii"	""	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Encyonema"
"Encyonema minutum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"minutum"	""	2	3	2	2	3	3	7	1	"V"	"L"	"L"	NA	"Encyonema"
"Encyonema neogracile"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"neogracile"	""	3	2	1	1	1	1	2	3	"V"	NA	NA	NA	"Encyonema"
"Encyonema reichardtii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"reichardtii"	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Encyonema"
"Encyonema silesiacum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"silesiacum"	""	2	3	2	2	3	3	7	1	"V"	NA	"L"	NA	"Encyonema"
"Encyonema tenuissimum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"tenuissimum"	""	2	NA	NA	NA	NA	NA	NA	NA	NA	"L"	"L"	NA	"Encyonema"
"Encyonema triangulum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"triangulum"	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Encyonema"
"Encyonema vulgare"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonema"	"vulgare"	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Encyonema"
"Encyonopsis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonopsis"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Encyonopsis"
"Encyonopsis perborealis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonopsis"	"perborealis"	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Encyonopsis"
"Encyonopsis subminuta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Encyonopsis"	"subminuta"	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Encyonopsis"
"Entomoneis alata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Surirellales"	"Entomoneidaceae"	NA	"Entomoneis"	"alata"	""	2	3	4	1	1	1	2	1	"H"	NA	NA	NA	"Entomoneis"
"Entomoneis costata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Surirellales"	"Entomoneidaceae"	NA	"Entomoneis"	"costata"	""	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Entomoneis"
"Entomoneis robusta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Surirellales"	"Entomoneidaceae"	NA	"Entomoneis"	"robusta"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Entomoneis"
"Eolimna minima"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Eolimna"	"minima"	""	1	4	2	3	4	4	5	3	"M"	NA	NA	NA	"Eolimna"
"Epithemia"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Rhopalodiales"	"Rhopalodiaceae"	NA	"Epithemia"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Epithemia"
"Epithemia adnata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Rhopalodiales"	"Rhopalodiaceae"	NA	"Epithemia"	"adnata"	""	2	5	2	1	2	2	4	2	"M"	"L"	"L"	NA	"Epithemia"
"Epithemia sorex"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Rhopalodiales"	"Rhopalodiaceae"	NA	"Epithemia"	"sorex"	""	3	5	2	1	2	2	5	2	"M"	NA	"L"	NA	"Epithemia"
"Epithemia turgida"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Rhopalodiales"	"Rhopalodiaceae"	NA	"Epithemia"	"turgida"	""	3	5	2	1	2	2	4	3	"M"	NA	"L"	NA	"Epithemia"
"Epithemia argus"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Rhopalodiales"	"Rhopalodiaceae"	NA	"Epithemia"	"argus"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Epithemia"
"Epithemia girdle sp."	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Rhopalodiales"	"Rhopalodiaceae"	NA	"Epithemia"	"girdle"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Epithemia"
"Eunotia"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	""	""	3	2	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Eunotia"
"Eunotia bilunaris"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"bilunaris"	""	2	6	2	2	2	2	7	3	"V"	NA	NA	NA	"Eunotia"
"Eunotia minor"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"minor"	""	2	2	1	NA	NA	1	NA	4	"V"	NA	NA	NA	"Eunotia"
"Eunotia arcus"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"arcus"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eunotia"
"Eunotia curvata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"curvata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eunotia"
"Eunotia incisa"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"incisa"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eunotia"
"Eunotia naegelii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"naegelii"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eunotia"
"Eunotia pectinalis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"pectinalis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eunotia"
"Eunotia pectinalis var. minor"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"pectinalis"	"minor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eunotia"
"Eunotia vanheurckii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Eunotiales"	"Eunotiaceae"	NA	"Eunotia"	"vanheurckii"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eunotia"
"Fallacia"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Sellaphoraceae"	NA	"Fallacia"	""	""	2	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Fallacia"
"Fallacia lenzii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Sellaphoraceae"	NA	"Fallacia"	"lenzii"	""	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fallacia"
"Fallacia monoculata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Sellaphoraceae"	NA	"Fallacia"	"monoculata"	""	1	4	3	3	2	3	5	3	"M"	NA	NA	NA	"Fallacia"
"Fallacia sublucidula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Sellaphoraceae"	NA	"Fallacia"	"sublucidula"	""	2	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Fallacia"
"Fistulifera saprophila"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Fistulifera"	"saprophila"	""	1	NA	NA	NA	NA	5	5	NA	NA	NA	NA	NA	"Fistulifera"
"Fragilaria"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Fragilaria"
"Fragilaria capucina"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"capucina"	""	2	3	2	NA	NA	2	3	NA	"N"	NA	NA	NA	"Fragilaria"
"Fragilaria capucina var. gracilis"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"capucina"	"gracilis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria crotonensis"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"crotonensis"	""	3	4	2	2	2	2	3	1	"N"	"L"	NA	NA	"Fragilaria"
"Fragilaria mesolepta"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"mesolepta"	""	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria nanana"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"nanana"	""	3	3	1	1	1	1	2	2	"N"	NA	NA	NA	"Fragilaria"
"Fragilaria nitzschioides"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"nitzschioides"	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Fragilaria"
"Fragilaria recapitellata"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"recapitellata"	""	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria sepes"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"sepes"	""	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria socia"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"socia"	""	2	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Fragilaria"
"Fragilaria vaucheriae"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"vaucheriae"	""	2	4	2	2	3	3	5	3	"N"	NA	"L"	NA	"Fragilaria"
"Fragilaria bidens"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"bidens"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria brevistriata var. inflata"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"brevistriata"	"inflata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria capucina var. mesolepta"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"capucina"	"mesolepta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria construens"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"construens"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria construens var. binodis"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"construens"	"binodis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria construens var. venter"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"construens"	"venter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria girdle sp."	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"girdle"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria leptostauron"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"leptostauron"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria pinnata"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"pinnata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria pinnata var. ventriculosa"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"pinnata"	"ventriculosa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria sp."	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"sp."	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria vaucheriae var. capitellata"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"vaucheriae"	"capitellata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria virescens"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"virescens"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Fragilaria virescens var. capitata"	"Heterokontophyta"	"Bacillariophyceae"	"Fragilariophycidae"	"Fragilariales"	"Fragilariaceae"	NA	"Fragilaria"	"virescens"	"capitata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fragilaria"
"Frustulia vulgaris"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Amphipleuraceae"	NA	"Frustulia"	"vulgaris"	""	2	4	2	2	1	2	4	3	"M"	NA	NA	NA	"Frustulia"
"Frustulia rhomboides"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Amphipleuraceae"	NA	"Frustulia"	"rhomboides"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Frustulia"
"Frustulia rhomboides var. capitata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Amphipleuraceae"	NA	"Frustulia"	"rhomboides"	"capitata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Frustulia"
"Geissleria acceptata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Geissleria"	"acceptata"	""	2	NA	1	NA	1	2	NA	4	"M"	NA	NA	NA	"Geissleria"
"Geissleria decussis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Geissleria"	"decussis"	""	3	4	2	1	NA	1	4	3	"M"	NA	NA	NA	"Geissleria"
"Gomphoneis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Gomphonemataceae"	NA	"Gomphoneis"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Gomphoneis"
"Gomphoneis eriense"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Gomphonemataceae"	NA	"Gomphoneis"	"eriense"	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	"L"	NA	"Gomphoneis"
"Gomphoneis olivaceum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Gomphonemataceae"	NA	"Gomphoneis"	"olivaceum"	""	3	5	2	2	2	2	5	1	"N"	NA	NA	NA	"Gomphoneis"
"Gomphoneis girdle sp."	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Gomphonemataceae"	NA	"Gomphoneis"	"girdle"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gomphoneis"
"Gomphoneis herculeana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Gomphonemataceae"	NA	"Gomphoneis"	"herculeana"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gomphoneis"
"Gomphoneis minuta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Gomphonemataceae"	NA	"Gomphoneis"	"minuta"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gomphoneis"
"Gomphonema"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Gomphonemataceae"	NA	"Gomphonema"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Gomphonema"
